customer_id,age,gender,location,tenure_months,monthly_spend,total_spend,login_frequency,support_tickets,product_usage,subscription_type,payment_method,discount_used,churn,customer_lifetime_value,average_monthly_spend,usage_per_month,support_ticket_rate,age_group,tenure_group
C100048,56.0,Female,Hyderabad,68,1032.82,77417.86,17.0,3,100.0,Annual,Bank Transfer,1,0,79820.61,1138.4979411764707,1.4705882352941178,0.04411764705882353,51+,25+ months
C100049,35.0,Female,Delhi,3,2174.48,6588.39,1.0,3,45.0,Monthly,UPI,0,0,41179.92,2196.13,15.0,1.0,26-35,0-6 months
C100050,21.0,Female,Bengaluru,72,1938.86,155356.36,24.0,2,93.0,Monthly,Debit Card,0,0,155283.35,2157.727222222222,1.2916666666666667,0.027777777777777776,18-25,25+ months
C100051,42.0,Male,Hyderabad,5,2289.79,10414.42,12.0,2,98.0,Monthly,Debit Card,1,0,58904.94,2082.884,19.6,0.4,36-50,0-6 months
C100052,31.0,Female,Chennai,9,2153.88,18719.99,18.0,1,72.0,Annual,Credit Card,0,0,56234.55,2079.9988888888893,8.0,0.1111111111111111,26-35,7-12 months
C100053,67.0,Female,Other,1,2054.76,1862.33,23.0,3,47.0,Monthly,Debit Card,0,0,41103.16,1862.33,47.0,3.0,51+,0-6 months
C100054,26.0,Male,Chennai,30,1232.33,35952.29,7.0,3,88.0,Monthly,Debit Card,0,0,54397.79,1198.4096666666667,2.933333333333333,0.1,26-35,25+ months
C100055,43.0,Other,Bengaluru,71,1896.23,121354.16,18.0,3,90.0,Monthly,UPI,0,0,151742.98,1709.2135211267607,1.267605633802817,0.04225352112676056,36-50,25+ months
C100056,70.0,Female,Chennai,20,1291.59,23824.57,12.0,1,54.0,Quarterly,Credit Card,0,0,56738.3,1191.2285,2.7,0.05,51+,13-24 months
C100057,19.0,Male,Hyderabad,27,2197.94,53829.67,4.0,1,72.0,Quarterly,Bank Transfer,0,0,84291.3,1993.6914814814813,2.6666666666666665,0.037037037037037035,18-25,25+ months
C100058,37.0,Female,Hyderabad,63,1183.93,76037.51,26.0,2,80.0,Monthly,UPI,0,0,93638.72,1206.9446031746031,1.2698412698412698,0.031746031746031744,36-50,25+ months
C100059,45.0,Male,Pune,31,1464.84,46412.54,8.0,3,50.0,Quarterly,Debit Card,0,0,69375.61,1497.1787096774194,1.6129032258064515,0.0967741935483871,36-50,25+ months
C100060,64.0,Male,Other,19,1745.29,34909.6,23.0,1,57.0,Monthly,UPI,1,0,63398.69,1837.3473684210526,3.0,0.05263157894736842,51+,13-24 months
C100061,24.0,Male,Hyderabad,62,2795.82,181810.44,8.0,4,33.0,Monthly,Credit Card,0,0,163536.09,2932.4264516129033,0.532258064516129,0.06451612903225806,18-25,25+ months
C100062,61.0,Other,Mumbai,7,1820.51,13473.53,4.0,1,82.0,Quarterly,Credit Card,0,0,51919.25,1924.7900000000002,11.714285714285714,0.14285714285714285,51+,7-12 months
C100063,25.0,Male,Other,37,3363.93,136841.52,7.0,2,54.0,Annual,Debit Card,0,0,144681.44,3698.419459459459,1.4594594594594594,0.05405405405405406,18-25,25+ months
C100064,64.0,Female,Hyderabad,71,2698.55,176449.27,7.0,4,79.0,Quarterly,Credit Card,1,0,188806.35,2485.2009859154928,1.1126760563380282,0.056338028169014086,51+,25+ months
C100065,52.0,Male,Hyderabad,8,1602.62,13897.97,8.0,2,90.0,Monthly,Debit Card,0,0,46889.7,1737.24625,11.25,0.25,51+,7-12 months
C100066,31.0,Female,Kolkata,57,2062.34,127894.33,21.0,0,58.0,Monthly,UPI,0,0,133495.8,2243.7601754385964,1.0175438596491229,0.0,26-35,25+ months
C100067,34.0,Female,Delhi,28,2410.51,66747.22,30.0,1,81.0,Annual,Bank Transfer,0,0,112130.81,2383.8292857142856,2.892857142857143,0.03571428571428571,26-35,25+ months
C100068,53.0,Female,Hyderabad,17,399.0,6159.12,25.0,3,53.0,Monthly,UPI,0,0,38745.15,362.30117647058825,3.1176470588235294,0.17647058823529413,51+,13-24 months
C100069,67.0,Male,Chennai,11,935.14,9193.69,14.0,3,91.0,Annual,UPI,1,0,30058.85,835.7900000000001,8.272727272727273,0.2727272727272727,51+,7-12 months
C100070,57.0,Female,Hyderabad,15,2091.81,32430.69,13.0,1,38.0,Quarterly,Bank Transfer,0,0,62680.38,2162.046,2.533333333333333,0.06666666666666667,51+,13-24 months
C100071,21.0,Other,Chennai,30,2132.8,64016.23,14.0,0,78.0,Quarterly,UPI,0,0,96221.54,2133.8743333333337,2.6,0.0,18-25,25+ months
C100072,19.0,Female,Pune,6,1898.62,12136.08,1.0,2,55.0,Monthly,Debit Card,0,1,43351.26,2022.68,9.166666666666666,0.3333333333333333,18-25,0-6 months
C100073,23.0,Female,Mumbai,12,1075.93,13928.43,17.0,3,92.0,Monthly,UPI,1,0,47029.86,1160.7025,7.666666666666667,0.25,18-25,7-12 months
C100074,59.0,Female,Delhi,61,3367.73,184892.66,18.0,2,73.0,Monthly,Credit Card,0,0,226769.14,3031.027213114754,1.1967213114754098,0.03278688524590164,51+,25+ months
C100075,21.0,Male,Bengaluru,36,2418.56,83320.16,9.0,2,100.0,Annual,UPI,0,0,124705.46,2314.448888888889,2.7777777777777777,0.05555555555555555,18-25,25+ months
C100076,46.0,Female,Hyderabad,35,2462.65,84643.15,5.0,1,63.0,Monthly,Debit Card,1,0,98075.76,2418.375714285714,1.8,0.02857142857142857,36-50,25+ months
C100077,35.0,Female,Hyderabad,67,2406.43,159629.83,15.0,2,76.0,Monthly,Debit Card,0,0,173963.51,2382.534776119403,1.1343283582089552,0.029850746268656716,26-35,25+ months
C100078,43.0,Male,Pune,63,1895.85,105809.85,21.0,2,95.0,Quarterly,Credit Card,1,0,139749.13,1679.5214285714287,1.507936507936508,0.031746031746031744,36-50,25+ months
C100079,61.0,Male,Delhi,40,1855.15,72537.7,8.0,2,78.0,Monthly,UPI,0,0,96185.72,1813.4424999999999,1.95,0.05,51+,25+ months
C100080,51.0,Male,Bengaluru,31,2387.19,71483.58,7.0,1,50.0,Monthly,UPI,0,0,90460.38,2305.921935483871,1.6129032258064515,0.03225806451612903,51+,25+ months
C100081,27.0,Female,Chennai,37,1459.89,48179.96,11.0,3,76.0,Quarterly,UPI,1,0,81495.4,1302.161081081081,2.054054054054054,0.08108108108108109,26-35,25+ months
C100082,53.0,Female,Pune,5,2682.45,12505.62,18.0,2,62.0,Annual,Credit Card,0,0,57841.59,2501.1240000000003,12.4,0.4,51+,0-6 months
C100083,44.0,Male,Mumbai,4,1914.37,7979.73,10.0,0,100.0,Monthly,Bank Transfer,0,0,58404.3,1994.9325,25.0,0.0,36-50,0-6 months
C100084,48.0,Male,Bengaluru,26,2434.63,60791.11,26.0,4,33.0,Annual,Credit Card,0,0,90459.59,2338.1196153846154,1.2692307692307692,0.15384615384615385,36-50,25+ months
C100085,65.0,Male,Bengaluru,24,1915.87,49309.93,11.0,3,97.0,Monthly,Bank Transfer,1,0,82959.52,2054.5804166666667,4.041666666666667,0.125,51+,13-24 months
C100086,32.0,Male,Hyderabad,39,1223.51,44553.26,11.0,3,68.0,Quarterly,UPI,0,0,76952.44,1142.3912820512821,1.7435897435897436,0.07692307692307693,26-35,25+ months
C100087,25.0,Male,Pune,56,1690.71,94836.42,16.0,4,45.0,Monthly,Credit Card,1,0,113325.14,1693.5075,0.8035714285714286,0.07142857142857142,18-25,25+ months
C100088,31.0,Female,Mumbai,54,2593.74,150735.12,22.0,2,48.0,Monthly,Credit Card,0,0,151007.31,2791.391111111111,0.8888888888888888,0.037037037037037035,26-35,25+ months
C100089,40.0,Male,Delhi,38,2218.75,83988.53,19.0,2,78.0,Monthly,Debit Card,1,0,109556.79,2210.2244736842104,2.0526315789473686,0.05263157894736842,36-50,25+ months
C100090,57.0,Female,Kolkata,54,2518.25,152281.25,2.0,4,37.0,Monthly,Bank Transfer,0,0,131422.98,2820.0231481481483,0.6851851851851852,0.07407407407407407,51+,25+ months
C100091,38.0,Female,Other,19,2411.15,46211.58,19.0,2,86.0,Monthly,Wallet,1,0,92250.39,2432.188421052632,4.526315789473684,0.10526315789473684,36-50,13-24 months
C100092,33.0,Male,Bengaluru,26,1679.79,40532.02,22.0,1,69.0,Annual,Credit Card,0,0,66111.75,1558.923846153846,2.6538461538461537,0.038461538461538464,26-35,25+ months
C100093,62.0,Female,Hyderabad,52,786.48,43235.06,22.0,2,85.0,Quarterly,Debit Card,1,0,63154.33,831.4434615384615,1.6346153846153846,0.038461538461538464,51+,25+ months
C100094,35.0,Female,Chennai,61,2600.72,162565.81,26.0,2,48.0,Annual,Credit Card,0,0,154141.48,2665.0132786885247,0.7868852459016393,0.03278688524590164,26-35,25+ months
C100095,64.0,Female,Hyderabad,67,1689.55,116567.28,30.0,6,30.0,Monthly,Credit Card,1,0,112803.82,1739.8101492537314,0.44776119402985076,0.08955223880597014,51+,25+ months
C100096,70.0,Male,Pune,22,2498.8,53029.37,15.0,0,42.0,Annual,Wallet,0,0,99875.03,2410.425909090909,1.9090909090909092,0.0,51+,13-24 months
C100097,41.0,Male,Kolkata,17,2960.25,47474.21,13.0,0,100.0,Annual,Wallet,0,0,108665.39,2792.6005882352943,5.882352941176471,0.0,36-50,13-24 months
C100098,43.0,Male,Delhi,11,1569.78,16086.36,9.0,1,95.0,Monthly,Debit Card,0,0,65257.1,1462.3963636363637,8.636363636363637,0.09090909090909091,36-50,7-12 months
C100099,42.0,Male,Bengaluru,39,1304.51,45711.17,7.0,4,82.0,Monthly,Credit Card,1,0,62496.38,1172.081282051282,2.1025641025641026,0.10256410256410256,36-50,25+ months
C100100,62.0,Male,Hyderabad,61,1136.16,66592.07,11.0,2,89.0,Monthly,UPI,0,0,78178.53,1091.6732786885248,1.459016393442623,0.03278688524590164,51+,25+ months
C100101,58.0,Male,Chennai,49,1785.82,78642.09,11.0,2,79.0,Monthly,Debit Card,0,0,109093.97,1604.940612244898,1.6122448979591837,0.04081632653061224,51+,25+ months
C100102,46.0,Male,Pune,61,1132.12,67964.9,7.0,5,100.0,Annual,Bank Transfer,0,0,83642.01,1114.1786885245901,1.639344262295082,0.08196721311475409,36-50,25+ months
C100103,32.0,Male,Bengaluru,12,2029.13,22630.76,17.0,4,66.0,Monthly,Bank Transfer,0,0,55650.16,1885.8966666666665,5.5,0.3333333333333333,26-35,7-12 months
C100104,62.0,Male,Hyderabad,13,2060.0,28412.52,14.0,3,87.0,Monthly,Debit Card,0,0,66916.41,2185.5784615384614,6.6923076923076925,0.23076923076923078,51+,13-24 months
C100105,18.0,Male,Bengaluru,58,2306.48,129433.98,16.0,4,65.0,Annual,Credit Card,0,0,151646.86,2231.620344827586,1.1206896551724137,0.06896551724137931,18-25,25+ months
C100106,42.0,Other,Other,11,701.57,7830.86,8.0,3,78.0,Monthly,Wallet,0,0,38009.45,711.8963636363636,7.090909090909091,0.2727272727272727,36-50,7-12 months
C100107,24.0,Male,Delhi,64,2573.57,175598.81,19.0,2,100.0,Monthly,UPI,1,0,186736.39,2743.73140625,1.5625,0.03125,18-25,25+ months
C100108,26.0,Female,Kolkata,31,1882.89,55955.11,11.0,5,57.0,Monthly,Debit Card,0,0,85291.58,1805.0035483870968,1.8387096774193548,0.16129032258064516,26-35,25+ months
C100109,41.0,Male,Pune,11,1507.31,15744.77,25.0,4,40.0,Monthly,Debit Card,0,0,51376.37,1431.3427272727274,3.6363636363636362,0.36363636363636365,36-50,7-12 months
C100110,18.0,Female,Mumbai,43,2222.22,86478.39,1.0,0,51.0,Monthly,Credit Card,0,0,110442.43,2011.1253488372092,1.186046511627907,0.0,18-25,25+ months
C100111,61.0,Male,Hyderabad,36,2213.77,70495.89,10.0,4,32.0,Quarterly,Credit Card,1,0,98562.72,1958.2191666666668,0.8888888888888888,0.1111111111111111,51+,25+ months
C100112,25.0,Female,Bengaluru,2,1055.32,2134.39,19.0,4,80.0,Monthly,Credit Card,0,0,36071.05,1067.195,40.0,2.0,18-25,0-6 months
C100113,41.0,Female,Mumbai,61,1767.84,109527.16,6.0,1,63.0,Monthly,UPI,0,0,116743.37,1795.5272131147542,1.0327868852459017,0.01639344262295082,36-50,25+ months
C100114,28.0,Male,Kolkata,36,1410.18,49335.93,25.0,4,45.0,Monthly,UPI,0,0,71369.18,1370.4425,1.25,0.1111111111111111,26-35,25+ months
C100115,68.0,Female,Bengaluru,49,1527.6,71628.88,21.0,4,16.0,Monthly,UPI,0,0,81087.29,1461.8138775510206,0.32653061224489793,0.08163265306122448,51+,25+ months
C100116,34.0,Female,Hyderabad,27,2140.08,64335.85,27.0,1,81.0,Quarterly,Credit Card,1,0,101707.01,2382.8092592592593,3.0,0.037037037037037035,26-35,25+ months
C100117,25.0,Male,Mumbai,12,1234.1,13293.83,24.0,3,100.0,Monthly,Credit Card,0,0,65086.7,1107.8191666666667,8.333333333333334,0.25,18-25,7-12 months
C100118,52.0,Female,Hyderabad,58,2410.83,129559.95,20.0,3,70.0,Annual,UPI,0,0,152679.39,2233.7922413793103,1.206896551724138,0.05172413793103448,51+,25+ months
C100119,52.0,Female,Mumbai,6,1198.74,7632.21,16.0,5,60.0,Monthly,UPI,0,0,45047.5,1272.035,10.0,0.8333333333333334,51+,0-6 months
C100120,50.0,Male,Bengaluru,44,2584.76,105857.41,6.0,3,35.0,Quarterly,Bank Transfer,1,0,123410.75,2405.8502272727274,0.7954545454545454,0.06818181818181818,36-50,25+ months
C100121,22.0,Male,Bengaluru,47,1376.2,67968.69,25.0,0,72.0,Quarterly,UPI,1,0,102388.91,1446.142340425532,1.5319148936170213,0.0,18-25,25+ months
C100122,59.0,Female,Chennai,23,3291.74,83667.97,10.0,2,49.0,Monthly,Debit Card,0,0,106255.46,3637.7378260869564,2.130434782608696,0.08695652173913043,51+,13-24 months
C100123,56.0,Female,Mumbai,26,2578.93,70652.34,13.0,3,44.0,Annual,UPI,1,0,90353.57,2717.397692307692,1.6923076923076923,0.11538461538461539,51+,25+ months
C100124,58.0,Female,Mumbai,7,1675.17,12582.24,12.0,2,97.0,Monthly,Bank Transfer,0,1,50747.97,1797.462857142857,13.857142857142858,0.2857142857142857,51+,7-12 months
C100125,45.0,Female,Bengaluru,32,1431.88,48984.84,11.0,1,56.0,Annual,Credit Card,0,0,58305.81,1530.77625,1.75,0.03125,36-50,25+ months
C100126,24.0,Male,Kolkata,33,2138.46,68940.16,24.0,1,82.0,Monthly,Bank Transfer,0,0,98777.17,2089.0957575757575,2.484848484848485,0.030303030303030304,18-25,25+ months
C100127,26.0,Female,Hyderabad,20,2459.29,45149.12,22.0,3,92.0,Monthly,UPI,1,0,85550.1,2257.456,4.6,0.15,26-35,13-24 months
C100128,25.0,Male,Hyderabad,69,2204.43,141440.82,19.0,4,41.0,Monthly,Bank Transfer,0,0,158381.46,2049.866956521739,0.5942028985507246,0.057971014492753624,18-25,25+ months
C100129,29.0,Male,Mumbai,52,1423.95,81760.38,15.0,5,55.0,Quarterly,Wallet,1,0,78798.95,1572.315,1.0576923076923077,0.09615384615384616,26-35,25+ months
C100130,51.0,Female,Hyderabad,42,2727.43,103009.71,3.0,3,100.0,Quarterly,Credit Card,0,0,151584.89,2452.612142857143,2.380952380952381,0.07142857142857142,51+,25+ months
C100131,50.0,Female,Mumbai,1,1989.25,1929.5,14.0,2,55.0,Monthly,UPI,0,0,40901.91,1929.5,55.0,2.0,36-50,0-6 months
C100132,65.0,Male,Other,63,1377.17,89372.57,24.0,1,66.0,Quarterly,UPI,0,0,95786.9,1418.6122222222223,1.0476190476190477,0.015873015873015872,51+,25+ months
C100133,40.0,Female,Delhi,7,3490.31,22520.67,12.0,3,62.0,Annual,UPI,0,1,78505.39,3217.238571428571,8.857142857142858,0.42857142857142855,36-50,7-12 months
C100134,41.0,Male,Mumbai,58,2474.23,131041.48,11.0,2,94.0,Annual,Credit Card,1,0,161922.75,2259.3358620689655,1.6206896551724137,0.034482758620689655,36-50,25+ months
C100135,54.0,Male,Mumbai,50,2065.12,106195.97,21.0,2,100.0,Monthly,Bank Transfer,0,0,136802.42,2123.9194,2.0,0.04,51+,25+ months
C100136,52.0,Female,Hyderabad,34,1485.74,55028.95,14.0,1,77.0,Monthly,Wallet,0,0,80166.94,1618.4985294117646,2.264705882352941,0.029411764705882353,51+,25+ months
C100137,61.0,Male,Chennai,51,1776.99,99764.95,23.0,3,79.0,Monthly,UPI,0,0,108411.85,1956.1754901960783,1.5490196078431373,0.058823529411764705,51+,25+ months
C100138,57.0,Male,Bengaluru,10,1271.2,13275.33,8.0,1,58.0,Monthly,Credit Card,1,0,44965.86,1327.533,5.8,0.1,51+,7-12 months
C100139,39.0,Male,Other,26,1920.34,52506.99,16.0,0,92.0,Monthly,Bank Transfer,0,0,90624.14,2019.4996153846153,3.5384615384615383,0.0,36-50,25+ months
C100140,44.0,Female,Bengaluru,32,2156.29,76259.47,17.0,2,64.0,Monthly,UPI,0,0,110840.39,2383.1084375,2.0,0.0625,36-50,25+ months
C100141,52.0,Male,Chennai,42,794.11,32462.3,14.0,1,69.0,Annual,UPI,0,0,46678.36,772.9119047619048,1.6428571428571428,0.023809523809523808,51+,25+ months
C100142,18.0,Male,Other,62,1211.96,83700.04,25.0,1,100.0,Annual,Credit Card,0,0,98787.17,1350.0006451612903,1.6129032258064515,0.016129032258064516,18-25,25+ months
C100143,52.0,Female,Pune,12,1458.1,16679.81,15.0,4,76.0,Annual,Credit Card,1,0,49215.87,1389.9841666666669,6.333333333333333,0.3333333333333333,51+,7-12 months
C100144,54.0,Female,Other,40,1071.88,41470.03,19.0,0,88.0,Annual,UPI,0,0,69977.2,1036.75075,2.2,0.0,51+,25+ months
C100145,64.0,Male,Mumbai,34,1262.77,45617.77,14.0,2,62.0,Quarterly,Credit Card,0,0,59645.73,1341.6991176470588,1.8235294117647058,0.058823529411764705,51+,25+ months
C100146,31.0,Female,Bengaluru,70,2758.01,203016.18,15.0,3,65.0,Monthly,UPI,0,0,195753.73,2900.231142857143,0.9285714285714286,0.04285714285714286,26-35,25+ months
C100147,20.0,Male,Pune,27,2791.97,73039.32,18.0,2,38.0,Annual,Credit Card,1,0,95691.85,2705.1600000000003,1.4074074074074074,0.07407407407407407,18-25,25+ months
C100148,18.0,Female,Bengaluru,8,1396.73,9961.51,9.0,2,90.0,Monthly,Bank Transfer,1,0,44713.21,1245.18875,11.25,0.25,18-25,7-12 months
C100149,22.0,Male,Hyderabad,47,2159.37,104763.72,11.0,3,62.0,Monthly,Bank Transfer,0,0,121120.46,2229.015319148936,1.3191489361702127,0.06382978723404255,18-25,25+ months
C100150,43.0,Male,Delhi,26,1052.21,28033.35,14.0,0,67.0,Monthly,Debit Card,0,0,53638.52,1078.2057692307692,2.576923076923077,0.0,36-50,25+ months
C100151,31.0,Male,Delhi,57,3071.54,191198.75,16.0,0,100.0,Monthly,Credit Card,0,0,186751.13,3354.3640350877195,1.7543859649122806,0.0,26-35,25+ months
