customer_id,age,gender,location,tenure_months,monthly_spend,total_spend,login_frequency,support_tickets,product_usage,subscription_type,payment_method,discount_used,churn,customer_lifetime_value
C100038,64.0,Female,Delhi,55,1080.34,54054.49,13.0,0,35.0,Monthly,Credit Card,0,0,63609.09
C100039,68.0,Female,Mumbai,16,2510.55,39614.07,16.0,3,86.0,Annual,Debit Card,1,0,76714.36
C100040,61.0,Female,Mumbai,12,2426.54,26467.22,17.0,4,100.0,Monthly,UPI,1,0,82450.89
C100041,69.0,Male,Delhi,27,1722.52,47782.16,8.0,3,100.0,Monthly,Debit Card,1,0,66749.91
C100042,20.0,Female,Hyderabad,33,1665.77,54653.35,18.0,4,73.0,Monthly,Credit Card,0,0,85635.7
C100043,54.0,Female,Hyderabad,55,1901.62,112515.4,18.0,2,79.0,Monthly,Bank Transfer,1,0,122248.75
C100044,68.0,Male,Delhi,52,1479.21,75404.36,16.0,1,100.0,Monthly,Wallet,0,0,92755.43
C100045,24.0,Female,Bengaluru,37,2749.72,102644.25,16.0,3,55.0,Monthly,Debit Card,0,0,128909.01
C100046,38.0,Male,Other,15,441.18,6904.22,9.0,1,100.0,Quarterly,Credit Card,0,0,34628.65
C100047,26.0,Male,Chennai,65,1548.46,88977.76,10.0,1,68.0,Monthly,Debit Card,1,0,122805.67
C100048,56.0,Female,Hyderabad,68,1032.82,77417.86,17.0,3,100.0,Annual,Bank Transfer,1,0,79820.61
C100049,35.0,Female,Delhi,3,2174.48,6588.39,1.0,3,45.0,Monthly,UPI,0,0,41179.92
C100050,21.0,Female,Bengaluru,72,1938.86,155356.36,24.0,2,93.0,Monthly,Debit Card,0,0,155283.35
C100051,42.0,Male,Hyderabad,5,2289.79,10414.42,12.0,2,98.0,Monthly,Debit Card,1,0,58904.94
C100052,31.0,Female,Chennai,9,2153.88,18719.99,18.0,1,72.0,Annual,Credit Card,0,0,56234.55
C100053,67.0,Female,Other,1,2054.76,1862.33,23.0,3,47.0,Monthly,Debit Card,0,0,41103.16
C100054,26.0,Male,Chennai,30,1232.33,35952.29,7.0,3,88.0,Monthly,Debit Card,0,0,54397.79
C100055,43.0,Other,Bengaluru,71,1896.23,121354.16,18.0,3,90.0,Monthly,UPI,0,0,151742.98
C100056,70.0,Female,Chennai,20,1291.59,23824.57,12.0,1,54.0,Quarterly,Credit Card,0,0,56738.3
C100057,19.0,Male,Hyderabad,27,2197.94,53829.67,4.0,1,72.0,Quarterly,Bank Transfer,0,0,84291.3
C100058,37.0,Female,Hyderabad,63,1183.93,76037.51,26.0,2,80.0,Monthly,UPI,0,0,93638.72
C100059,45.0,Male,Pune,31,1464.84,46412.54,8.0,3,50.0,Quarterly,Debit Card,0,0,69375.61
C100060,64.0,Male,Other,19,1745.29,34909.6,23.0,1,57.0,Monthly,UPI,1,0,63398.69
C100061,24.0,Male,Hyderabad,62,2795.82,181810.44,8.0,4,33.0,Monthly,Credit Card,0,0,163536.09
C100062,61.0,Other,Mumbai,7,1820.51,13473.53,4.0,1,82.0,Quarterly,Credit Card,0,0,51919.25
C100063,25.0,Male,Other,37,3363.93,136841.52,7.0,2,54.0,Annual,Debit Card,0,0,144681.44
C100064,64.0,Female,Hyderabad,71,2698.55,176449.27,7.0,4,79.0,Quarterly,Credit Card,1,0,188806.35
C100065,52.0,Male,Hyderabad,8,1602.62,13897.97,8.0,2,90.0,Monthly,Debit Card,0,0,46889.7
C100066,31.0,Female,Kolkata,57,2062.34,127894.33,21.0,0,58.0,Monthly,UPI,0,0,133495.8
C100067,34.0,Female,Delhi,28,2410.51,66747.22,30.0,1,81.0,Annual,Bank Transfer,0,0,112130.81
C100068,53.0,Female,Hyderabad,17,399.0,6159.12,25.0,3,53.0,Monthly,UPI,0,0,38745.15
C100069,67.0,Male,Chennai,11,935.14,9193.69,14.0,3,91.0,Annual,UPI,1,0,30058.85
C100070,57.0,Female,Hyderabad,15,2091.81,32430.69,13.0,1,38.0,Quarterly,Bank Transfer,0,0,62680.38
C100071,21.0,Other,Chennai,30,2132.8,64016.23,14.0,0,78.0,Quarterly,UPI,0,0,96221.54
C100072,19.0,Female,Pune,6,1898.62,12136.08,1.0,2,55.0,Monthly,Debit Card,0,1,43351.26
C100073,23.0,Female,Mumbai,12,1075.93,13928.43,17.0,3,92.0,Monthly,UPI,1,0,47029.86
C100074,59.0,Female,Delhi,61,3367.73,184892.66,18.0,2,73.0,Monthly,Credit Card,0,0,226769.14
C100075,21.0,Male,Bengaluru,36,2418.56,83320.16,9.0,2,100.0,Annual,UPI,0,0,124705.46
C100076,46.0,Female,Hyderabad,35,2462.65,84643.15,5.0,1,63.0,Monthly,Debit Card,1,0,98075.76
C100077,35.0,Female,Hyderabad,67,2406.43,159629.83,15.0,2,76.0,Monthly,Debit Card,0,0,173963.51
C100078,43.0,Male,Pune,63,1895.85,105809.85,21.0,2,95.0,Quarterly,Credit Card,1,0,139749.13
C100079,61.0,Male,Delhi,40,1855.15,72537.7,8.0,2,78.0,Monthly,UPI,0,0,96185.72
C100080,51.0,Male,Bengaluru,31,2387.19,71483.58,7.0,1,50.0,Monthly,UPI,0,0,90460.38
C100081,27.0,Female,Chennai,37,1459.89,48179.96,11.0,3,76.0,Quarterly,UPI,1,0,81495.4
C100082,53.0,Female,Pune,5,2682.45,12505.62,18.0,2,62.0,Annual,Credit Card,0,0,57841.59
C100083,44.0,Male,Mumbai,4,1914.37,7979.73,10.0,0,100.0,Monthly,Bank Transfer,0,0,58404.3
C100084,48.0,Male,Bengaluru,26,2434.63,60791.11,26.0,4,33.0,Annual,Credit Card,0,0,90459.59
C100085,65.0,Male,Bengaluru,24,1915.87,49309.93,11.0,3,97.0,Monthly,Bank Transfer,1,0,82959.52
C100086,32.0,Male,Hyderabad,39,1223.51,44553.26,11.0,3,68.0,Quarterly,UPI,0,0,76952.44
C100087,25.0,Male,Pune,56,1690.71,94836.42,16.0,4,45.0,Monthly,Credit Card,1,0,113325.14
C100088,31.0,Female,Mumbai,54,2593.74,150735.12,22.0,2,48.0,Monthly,Credit Card,0,0,151007.31
C100089,40.0,Male,Delhi,38,2218.75,83988.53,19.0,2,78.0,Monthly,Debit Card,1,0,109556.79
C100090,57.0,Female,Kolkata,54,2518.25,152281.25,2.0,4,37.0,Monthly,Bank Transfer,0,0,131422.98
C100091,38.0,Female,Other,19,2411.15,46211.58,19.0,2,86.0,Monthly,Wallet,1,0,92250.39
C100092,33.0,Male,Bengaluru,26,1679.79,40532.02,22.0,1,69.0,Annual,Credit Card,0,0,66111.75
C100093,62.0,Female,Hyderabad,52,786.48,43235.06,22.0,2,85.0,Quarterly,Debit Card,1,0,63154.33
C100094,35.0,Female,Chennai,61,2600.72,162565.81,26.0,2,48.0,Annual,Credit Card,0,0,154141.48
C100095,64.0,Female,Hyderabad,67,1689.55,116567.28,30.0,6,30.0,Monthly,Credit Card,1,0,112803.82
C100096,70.0,Male,Pune,22,2498.8,53029.37,15.0,0,42.0,Annual,Wallet,0,0,99875.03
C100097,41.0,Male,Kolkata,17,2960.25,47474.21,13.0,0,100.0,Annual,Wallet,0,0,108665.39
C100098,43.0,Male,Delhi,11,1569.78,16086.36,9.0,1,95.0,Monthly,Debit Card,0,0,65257.1
C100099,42.0,Male,Bengaluru,39,1304.51,45711.17,7.0,4,82.0,Monthly,Credit Card,1,0,62496.38
C100100,62.0,Male,Hyderabad,61,1136.16,66592.07,11.0,2,89.0,Monthly,UPI,0,0,78178.53
C100101,58.0,Male,Chennai,49,1785.82,78642.09,11.0,2,79.0,Monthly,Debit Card,0,0,109093.97
C100102,46.0,Male,Pune,61,1132.12,67964.9,7.0,5,100.0,Annual,Bank Transfer,0,0,83642.01
C100103,32.0,Male,Bengaluru,12,2029.13,22630.76,17.0,4,66.0,Monthly,Bank Transfer,0,0,55650.16
C100104,62.0,Male,Hyderabad,13,2060.0,28412.52,14.0,3,87.0,Monthly,Debit Card,0,0,66916.41
C100105,18.0,Male,Bengaluru,58,2306.48,129433.98,16.0,4,65.0,Annual,Credit Card,0,0,151646.86
C100106,42.0,Other,Other,11,701.57,7830.86,8.0,3,78.0,Monthly,Wallet,0,0,38009.45
C100107,24.0,Male,Delhi,64,2573.57,175598.81,19.0,2,100.0,Monthly,UPI,1,0,186736.39
C100108,26.0,Female,Kolkata,31,1882.89,55955.11,11.0,5,57.0,Monthly,Debit Card,0,0,85291.58
C100109,41.0,Male,Pune,11,1507.31,15744.77,25.0,4,40.0,Monthly,Debit Card,0,0,51376.37
C100110,18.0,Female,Mumbai,43,2222.22,86478.39,1.0,0,51.0,Monthly,Credit Card,0,0,110442.43
C100111,61.0,Male,Hyderabad,36,2213.77,70495.89,10.0,4,32.0,Quarterly,Credit Card,1,0,98562.72
C100112,25.0,Female,Bengaluru,2,1055.32,2134.39,19.0,4,80.0,Monthly,Credit Card,0,0,36071.05
C100113,41.0,Female,Mumbai,61,1767.84,109527.16,6.0,1,63.0,Monthly,UPI,0,0,116743.37
C100114,28.0,Male,Kolkata,36,1410.18,49335.93,25.0,4,45.0,Monthly,UPI,0,0,71369.18
C100115,68.0,Female,Bengaluru,49,1527.6,71628.88,21.0,4,16.0,Monthly,UPI,0,0,81087.29
C100116,34.0,Female,Hyderabad,27,2140.08,64335.85,27.0,1,81.0,Quarterly,Credit Card,1,0,101707.01
C100117,25.0,Male,Mumbai,12,1234.1,13293.83,24.0,3,100.0,Monthly,Credit Card,0,0,65086.7
C100118,52.0,Female,Hyderabad,58,2410.83,129559.95,20.0,3,70.0,Annual,UPI,0,0,152679.39
C100119,52.0,Female,Mumbai,6,1198.74,7632.21,16.0,5,60.0,Monthly,UPI,0,0,45047.5
C100120,50.0,Male,Bengaluru,44,2584.76,105857.41,6.0,3,35.0,Quarterly,Bank Transfer,1,0,123410.75
C100121,22.0,Male,Bengaluru,47,1376.2,67968.69,25.0,0,72.0,Quarterly,UPI,1,0,102388.91
C100122,59.0,Female,Chennai,23,3291.74,83667.97,10.0,2,49.0,Monthly,Debit Card,0,0,106255.46
C100123,56.0,Female,Mumbai,26,2578.93,70652.34,13.0,3,44.0,Annual,UPI,1,0,90353.57
C100124,58.0,Female,Mumbai,7,1675.17,12582.24,12.0,2,97.0,Monthly,Bank Transfer,0,1,50747.97
C100125,45.0,Female,Bengaluru,32,1431.88,48984.84,11.0,1,56.0,Annual,Credit Card,0,0,58305.81
C100126,24.0,Male,Kolkata,33,2138.46,68940.16,24.0,1,82.0,Monthly,Bank Transfer,0,0,98777.17
C100127,26.0,Female,Hyderabad,20,2459.29,45149.12,22.0,3,92.0,Monthly,UPI,1,0,85550.1
C100128,25.0,Male,Hyderabad,69,2204.43,141440.82,19.0,4,41.0,Monthly,Bank Transfer,0,0,158381.46
C100129,29.0,Male,Mumbai,52,1423.95,81760.38,15.0,5,55.0,Quarterly,Wallet,1,0,78798.95
C100130,51.0,Female,Hyderabad,42,2727.43,103009.71,3.0,3,100.0,Quarterly,Credit Card,0,0,151584.89
C100131,50.0,Female,Mumbai,1,1989.25,1929.5,14.0,2,55.0,Monthly,UPI,0,0,40901.91
C100132,65.0,Male,Other,63,1377.17,89372.57,24.0,1,66.0,Quarterly,UPI,0,0,95786.9
C100133,40.0,Female,Delhi,7,3490.31,22520.67,12.0,3,62.0,Annual,UPI,0,1,78505.39
C100134,41.0,Male,Mumbai,58,2474.23,131041.48,11.0,2,94.0,Annual,Credit Card,1,0,161922.75
C100135,54.0,Male,Mumbai,50,2065.12,106195.97,21.0,2,100.0,Monthly,Bank Transfer,0,0,136802.42
C100136,52.0,Female,Hyderabad,34,1485.74,55028.95,14.0,1,77.0,Monthly,Wallet,0,0,80166.94
C100137,61.0,Male,Chennai,51,1776.99,99764.95,23.0,3,79.0,Monthly,UPI,0,0,108411.85
C100138,57.0,Male,Bengaluru,10,1271.2,13275.33,8.0,1,58.0,Monthly,Credit Card,1,0,44965.86
C100139,39.0,Male,Other,26,1920.34,52506.99,16.0,0,92.0,Monthly,Bank Transfer,0,0,90624.14
C100140,44.0,Female,Bengaluru,32,2156.29,76259.47,17.0,2,64.0,Monthly,UPI,0,0,110840.39
C100141,52.0,Male,Chennai,42,794.11,32462.3,14.0,1,69.0,Annual,UPI,0,0,46678.36
C100142,18.0,Male,Other,62,1211.96,83700.04,25.0,1,100.0,Annual,Credit Card,0,0,98787.17
C100143,52.0,Female,Pune,12,1458.1,16679.81,15.0,4,76.0,Annual,Credit Card,1,0,49215.87
C100144,54.0,Female,Other,40,1071.88,41470.03,19.0,0,88.0,Annual,UPI,0,0,69977.2
C100145,64.0,Male,Mumbai,34,1262.77,45617.77,14.0,2,62.0,Quarterly,Credit Card,0,0,59645.73
C100146,31.0,Female,Bengaluru,70,2758.01,203016.18,15.0,3,65.0,Monthly,UPI,0,0,195753.73
C100147,20.0,Male,Pune,27,2791.97,73039.32,18.0,2,38.0,Annual,Credit Card,1,0,95691.85
C100148,18.0,Female,Bengaluru,8,1396.73,9961.51,9.0,2,90.0,Monthly,Bank Transfer,1,0,44713.21
C100149,22.0,Male,Hyderabad,47,2159.37,104763.72,11.0,3,62.0,Monthly,Bank Transfer,0,0,121120.46
C100150,43.0,Male,Delhi,26,1052.21,28033.35,14.0,0,67.0,Monthly,Debit Card,0,0,53638.52
C100151,31.0,Male,Delhi,57,3071.54,191198.75,16.0,0,100.0,Monthly,Credit Card,0,0,186751.13
C100152,56.0,Male,Kolkata,7,1922.1,12805.1,14.0,5,72.0,Annual,UPI,0,0,71238.29
C100153,44.0,Female,Other,26,734.87,20995.44,3.0,2,51.0,Annual,Debit Card,1,0,34102.85
C100154,26.0,Male,Pune,59,3251.17,195170.87,22.0,3,69.0,Monthly,Credit Card,1,0,198323.34
C100155,32.0,Male,Hyderabad,69,1605.23,103229.57,15.0,2,30.0,Monthly,UPI,0,0,109457.05
C100156,32.0,Female,Delhi,47,3122.07,142956.52,6.0,1,78.0,Monthly,Wallet,0,0,173119.81
C100157,44.0,Female,Pune,35,2396.39,77859.28,12.0,2,83.0,Quarterly,Credit Card,0,0,120750.73
C100158,59.0,Male,Other,30,1992.18,59206.81,25.0,3,64.0,Monthly,Credit Card,0,0,90354.22
C100159,30.0,Male,Bengaluru,50,856.62,42549.69,11.0,2,77.0,Annual,UPI,0,0,63574.49
C100160,68.0,Male,Hyderabad,24,1870.77,48053.1,28.0,3,99.0,Monthly,Bank Transfer,1,0,85910.15
C100161,49.0,Male,Pune,30,1035.98,32890.96,12.0,3,49.0,Annual,Credit Card,0,0,59003.53
C100162,56.0,Male,Bengaluru,54,1584.4,87239.99,25.0,3,75.0,Monthly,UPI,0,0,112874.63
C100163,66.0,Female,Mumbai,67,1858.615,129091.29,23.0,2,83.0,Monthly,Credit Card,1,0,140732.53
C100164,69.0,Female,Chennai,32,2663.84,89129.94,15.0,1,84.0,Monthly,Bank Transfer,1,0,125033.22
C100165,49.0,Male,Chennai,8,1407.91,10312.17,6.0,5,79.0,Quarterly,UPI,0,0,50408.65
C100166,21.0,Male,Delhi,50,3199.86,163291.25,10.0,5,62.0,Monthly,Debit Card,1,0,179768.92
C100167,47.0,Male,Bengaluru,47,1051.59,54292.27,13.0,4,54.0,Annual,Bank Transfer,1,0,66080.44
C100168,54.0,Male,Delhi,46,1270.4,55714.97,17.0,3,37.0,Monthly,UPI,1,0,73154.56
C100169,40.0,Male,Hyderabad,35,1915.96,59390.22,9.0,2,62.0,Quarterly,UPI,0,0,90175.11
C100170,56.0,Female,Bengaluru,61,399.0,21444.48,3.0,2,78.0,Monthly,Debit Card,0,0,43876.78
C100171,62.0,Female,Bengaluru,51,1032.95,46770.66,14.0,3,100.0,Monthly,UPI,0,0,76849.01
C100172,32.0,Other,Pune,63,2103.13,140328.84,9.0,0,88.0,Monthly,Credit Card,0,0,140295.2
C100173,44.0,Female,Bengaluru,8,2656.1,23113.59,9.0,3,71.0,Annual,Bank Transfer,0,0,67868.53
C100174,46.0,Male,Delhi,34,1166.2,34927.35,10.0,1,69.0,Monthly,UPI,0,0,65313.5
C100175,53.0,Female,Delhi,25,1456.42,38103.3,15.0,1,60.0,Monthly,Bank Transfer,0,0,50996.88
C100176,30.0,Male,Delhi,44,2127.91,89171.06,20.0,4,49.0,Monthly,Credit Card,1,0,111393.34
C100177,49.0,Male,Mumbai,43,674.64,28245.27,25.0,1,99.0,Quarterly,Credit Card,0,0,57953.16
C100178,24.0,Female,Chennai,50,1681.93,92626.35,6.0,1,93.0,Monthly,UPI,1,0,109465.0
C100179,68.0,Male,Bengaluru,13,1897.06,25768.75,10.0,2,43.0,Annual,Credit Card,1,0,63544.79
C100180,39.0,Female,Mumbai,46,2947.13,136711.63,19.0,3,100.0,Monthly,Credit Card,0,0,168451.36
C100181,45.0,Male,Hyderabad,53,2147.78,113474.1,15.0,5,78.0,Monthly,Bank Transfer,0,0,131966.69
C100182,19.0,Female,Kolkata,63,1812.22,115843.34,8.0,2,86.0,Monthly,Credit Card,1,0,126309.63
C100183,59.0,Female,Pune,2,2299.25,4303.89,21.0,0,100.0,Monthly,Debit Card,1,0,59439.74
C100184,62.0,Female,Bengaluru,40,1943.42,81173.56,15.0,4,45.0,Monthly,Wallet,0,0,95367.09
C100185,70.0,Female,Mumbai,23,1193.93,24949.57,26.0,3,58.0,Monthly,Credit Card,0,0,54836.61
C100186,23.0,Male,Other,59,2267.36,143273.96,16.0,4,69.0,Monthly,Debit Card,0,0,140699.91
C100187,45.0,Female,Bengaluru,69,2358.14,152818.46,11.0,0,51.0,Quarterly,Bank Transfer,1,0,173403.52
C100188,45.0,Female,Pune,34,1592.0,47632.67,11.0,4,55.0,Monthly,Bank Transfer,0,0,71110.14
C100189,61.0,Female,Hyderabad,27,1929.87,55152.07,4.0,3,85.0,Monthly,UPI,0,0,83692.17
C100190,61.0,Female,Mumbai,55,3069.32,182196.72,24.0,0,83.0,Quarterly,Bank Transfer,0,0,184068.26
C100191,37.0,Female,Kolkata,4,1935.11,8217.74,14.0,1,78.0,Monthly,Credit Card,0,0,56159.94
C100192,47.0,Female,Mumbai,68,1666.78,107610.7,2.0,3,66.0,Monthly,Credit Card,0,0,115986.19
C100193,28.0,Female,Mumbai,72,1146.53,75852.15,22.0,3,65.0,Quarterly,UPI,1,0,96260.45
C100194,45.0,Female,Kolkata,70,1215.52,75229.39,7.0,5,73.0,Monthly,UPI,0,0,98252.3
C100195,42.0,Female,Delhi,27,1862.27,45200.81,19.0,2,73.0,Monthly,UPI,0,0,84107.8
C100196,56.0,Male,Delhi,47,1392.24,63605.94,11.0,2,90.0,Monthly,UPI,1,0,81366.54
C100197,50.0,Male,Mumbai,40,2188.92,83028.16,18.0,2,90.0,Monthly,Bank Transfer,1,0,114901.77
C100198,18.0,Male,Delhi,27,1776.23,52816.61,6.0,1,77.0,Annual,UPI,0,0,76206.1
C100199,44.0,Male,Pune,7,3664.74,23978.12,17.0,1,75.0,Monthly,Wallet,0,0,88531.8
C100200,69.0,Male,Other,23,1950.81,45096.99,9.0,0,60.0,Quarterly,UPI,0,0,83336.08
C100201,30.0,Female,Pune,64,773.32,54934.96,3.0,3,39.0,Quarterly,Debit Card,0,0,50366.22
C100202,58.0,Male,Delhi,29,2173.06,62025.72,19.0,2,100.0,Annual,Debit Card,0,0,102601.15
C100203,20.0,Male,Hyderabad,61,1559.37,104264.14,14.0,2,72.0,Quarterly,UPI,0,0,108117.74
C100204,56.0,Female,Pune,44,2266.25,106375.81,10.0,3,85.0,Monthly,UPI,0,0,131455.37
C100205,44.0,Female,Delhi,69,1803.39,119590.31,12.0,2,90.0,Monthly,Bank Transfer,0,0,147969.1
C100206,25.0,Female,Pune,27,2319.58,65271.67,20.0,6,77.0,Annual,Bank Transfer,1,0,80263.59
C100207,44.0,Other,Bengaluru,12,3563.36,40649.22,15.0,3,70.0,Monthly,UPI,1,0,98647.25
C100208,26.0,Female,Kolkata,17,1662.02,26956.11,19.0,6,63.0,Monthly,Wallet,1,0,57253.96
C100209,54.0,Male,Hyderabad,37,2278.54,88137.67,15.0,1,38.0,Monthly,UPI,1,0,103718.22
C100210,50.0,Female,Bengaluru,34,2519.65,86543.42,22.0,3,100.0,Monthly,Credit Card,0,0,125971.7
C100211,68.0,Female,Delhi,36,2252.85,71510.35,4.0,3,54.0,Annual,UPI,1,0,93239.86
C100212,59.0,Male,Delhi,6,752.4,4861.52,4.0,1,42.0,Quarterly,Credit Card,0,0,23897.57
C100213,61.0,Male,Bengaluru,32,2305.59,66729.38,18.0,4,100.0,Quarterly,UPI,0,0,110895.22
C100214,41.0,Female,Delhi,22,506.2,11503.65,22.0,2,73.0,Monthly,Bank Transfer,1,0,28690.72
C100215,32.0,Male,Chennai,10,2910.08,30048.05,19.0,3,79.0,Monthly,Bank Transfer,0,0,74231.46
C100216,49.0,Female,Hyderabad,29,952.21,26026.69,23.0,2,69.0,Monthly,UPI,1,0,44461.44
C100217,49.0,Male,Hyderabad,11,3075.61,29818.7,21.0,3,44.0,Monthly,Bank Transfer,0,0,69746.83
C100218,41.0,Female,Kolkata,66,1854.46,128050.84,17.0,1,75.0,Monthly,Debit Card,1,0,130034.83
C100219,58.0,Female,Bengaluru,56,2368.21,148230.56,1.0,0,62.0,Monthly,UPI,1,0,139481.0
C100220,69.0,Male,Hyderabad,58,2132.27,125238.86,13.0,0,63.0,Monthly,Bank Transfer,0,0,119656.11
C100221,66.0,Male,Delhi,52,2431.83,138476.99,11.0,3,93.0,Quarterly,UPI,0,0,154482.77
C100222,66.0,Female,Chennai,61,518.79,33819.75,18.0,1,91.0,Monthly,Debit Card,0,0,57993.69
C100223,69.0,Female,Pune,17,1382.05,23264.95,18.0,2,100.0,Monthly,Bank Transfer,0,0,54896.2
C100224,29.0,Female,Kolkata,30,2314.61,70155.25,5.0,5,44.0,Annual,Credit Card,0,0,77547.06
C100225,56.0,Male,Pune,72,1833.9,137757.51,6.0,2,80.0,Monthly,Wallet,1,0,143751.51
C100226,19.0,Female,Bengaluru,37,1539.03,60543.36,1.0,6,100.0,Monthly,Debit Card,1,0,71537.51
C100227,20.0,Male,Mumbai,5,2174.75,10088.47,27.0,0,96.0,Annual,UPI,0,0,67611.42
C100228,66.0,Male,Delhi,26,1656.61,41652.65,18.0,5,89.0,Quarterly,UPI,1,0,83147.51
C100229,54.0,Male,Bengaluru,70,3485.5,254982.04,12.0,3,72.0,Annual,Credit Card,0,0,243588.99
C100230,66.0,Female,Hyderabad,1,2672.82,2626.62,16.0,4,90.0,Monthly,Bank Transfer,0,0,68069.85
C100231,34.0,Male,Mumbai,9,3014.87,27456.96,18.0,1,56.0,Annual,UPI,0,0,71121.83
C100232,66.0,Male,Hyderabad,71,2974.77,222672.08,19.0,4,62.0,Monthly,Debit Card,1,0,209662.11
C100233,19.0,Female,Other,64,2369.15,136063.19,2.0,4,45.0,Annual,Bank Transfer,0,0,141802.42
C100234,19.0,Female,Pune,24,1442.77,38363.84,10.0,1,60.0,Annual,UPI,0,0,55760.12
C100235,45.0,Male,Hyderabad,5,1618.46,8613.69,16.0,0,72.0,Quarterly,Bank Transfer,0,0,51349.86
C100236,40.0,Male,Bengaluru,51,2029.05,98999.08,15.0,3,100.0,Quarterly,Wallet,1,0,120850.67
